2025-04-22 00:58:57,905 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3513 bytes
2025-04-22 00:58:58,453 - workload_generator - INFO - Throughput: 908.82 msgs/sec, 3.03 MB/sec
2025-04-22 00:58:58,564 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3577 bytes
2025-04-22 00:58:59,064 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3455 bytes
2025-04-22 00:58:59,596 - workload_generator - INFO - Throughput: 907.99 msgs/sec, 3.03 MB/sec
2025-04-22 00:58:59,596 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3528 bytes
2025-04-22 00:59:00,152 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3554 bytes
2025-04-22 00:59:00,667 - workload_generator - INFO - Throughput: 908.55 msgs/sec, 3.03 MB/sec
2025-04-22 00:59:00,679 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3505 bytes
2025-04-22 00:59:01,189 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3466 bytes
2025-04-22 00:59:01,719 - workload_generator - INFO - Throughput: 909.45 msgs/sec, 3.04 MB/sec
2025-04-22 00:59:01,719 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3505 bytes
2025-04-22 00:59:02,254 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3569 bytes
2025-04-22 00:59:02,793 - workload_generator - INFO - Throughput: 909.91 msgs/sec, 3.04 MB/sec
2025-04-22 00:59:02,795 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3560 bytes
2025-04-22 00:59:03,626 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3476 bytes
2025-04-22 00:59:04,250 - workload_generator - INFO - Throughput: 903.65 msgs/sec, 3.02 MB/sec
2025-04-22 00:59:04,251 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3368 bytes
2025-04-22 00:59:04,836 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3454 bytes
2025-04-22 00:59:05,323 - workload_generator - INFO - Throughput: 904.22 msgs/sec, 3.02 MB/sec
2025-04-22 00:59:05,324 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3419 bytes
2025-04-22 00:59:05,844 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3453 bytes
2025-04-22 00:59:06,366 - workload_generator - INFO - Throughput: 905.27 msgs/sec, 3.02 MB/sec
2025-04-22 00:59:06,367 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3506 bytes
2025-04-22 00:59:06,901 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3480 bytes
2025-04-22 00:59:07,427 - workload_generator - INFO - Throughput: 905.99 msgs/sec, 3.02 MB/sec
2025-04-22 00:59:07,427 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3525 bytes
2025-04-22 00:59:07,966 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3451 bytes
2025-04-22 00:59:08,481 - workload_generator - INFO - Throughput: 906.79 msgs/sec, 3.03 MB/sec
2025-04-22 00:59:08,481 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3624 bytes
2025-04-22 00:59:09,050 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3453 bytes
2025-04-22 00:59:09,581 - workload_generator - INFO - Throughput: 906.83 msgs/sec, 3.03 MB/sec
2025-04-22 00:59:09,582 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3449 bytes
2025-04-22 00:59:10,102 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3484 bytes
2025-04-22 00:59:10,636 - workload_generator - INFO - Throughput: 907.57 msgs/sec, 3.03 MB/sec
2025-04-22 00:59:10,637 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3517 bytes
2025-04-22 00:59:11,170 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3455 bytes
2025-04-22 00:59:11,714 - workload_generator - INFO - Throughput: 907.95 msgs/sec, 3.03 MB/sec
2025-04-22 00:59:11,722 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3600 bytes
2025-04-22 00:59:12,223 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3540 bytes
2025-04-22 00:59:12,761 - workload_generator - INFO - Throughput: 908.75 msgs/sec, 3.03 MB/sec
2025-04-22 00:59:12,774 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3443 bytes
2025-04-22 00:59:13,283 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3456 bytes
2025-04-22 00:59:13,814 - workload_generator - INFO - Throughput: 909.45 msgs/sec, 3.04 MB/sec
2025-04-22 00:59:13,815 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3624 bytes
2025-04-22 00:59:14,347 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3518 bytes
2025-04-22 00:59:14,875 - workload_generator - INFO - Throughput: 910.01 msgs/sec, 3.04 MB/sec
2025-04-22 00:59:14,876 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3409 bytes
2025-04-22 00:59:15,400 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3491 bytes
2025-04-22 00:59:15,933 - workload_generator - INFO - Throughput: 910.59 msgs/sec, 3.04 MB/sec
2025-04-22 00:59:15,934 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3506 bytes
2025-04-22 00:59:16,480 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3551 bytes
2025-04-22 00:59:16,985 - workload_generator - INFO - Throughput: 911.25 msgs/sec, 3.04 MB/sec
2025-04-22 00:59:16,986 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3515 bytes
2025-04-22 00:59:17,516 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3501 bytes
2025-04-22 00:59:18,054 - workload_generator - INFO - Throughput: 911.63 msgs/sec, 3.04 MB/sec
2025-04-22 00:59:18,073 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3400 bytes
2025-04-22 00:59:18,585 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3402 bytes
2025-04-22 00:59:19,116 - workload_generator - INFO - Throughput: 912.12 msgs/sec, 3.05 MB/sec
2025-04-22 00:59:19,116 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3368 bytes
2025-04-22 00:59:19,651 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3466 bytes
2025-04-22 00:59:20,167 - workload_generator - INFO - Throughput: 912.73 msgs/sec, 3.05 MB/sec
2025-04-22 00:59:20,167 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3501 bytes
2025-04-22 00:59:20,695 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3549 bytes
2025-04-22 00:59:21,212 - workload_generator - INFO - Throughput: 913.39 msgs/sec, 3.05 MB/sec
2025-04-22 00:59:21,213 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3512 bytes
2025-04-22 00:59:21,749 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3413 bytes
2025-04-22 00:59:22,280 - workload_generator - INFO - Throughput: 913.75 msgs/sec, 3.05 MB/sec
2025-04-22 00:59:22,280 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3540 bytes
2025-04-22 00:59:22,820 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3460 bytes
2025-04-22 00:59:23,356 - workload_generator - INFO - Throughput: 913.99 msgs/sec, 3.05 MB/sec
2025-04-22 00:59:23,356 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3476 bytes
2025-04-22 00:59:23,905 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3514 bytes
2025-04-22 00:59:24,427 - workload_generator - INFO - Throughput: 914.27 msgs/sec, 3.05 MB/sec
2025-04-22 00:59:24,428 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3454 bytes
2025-04-22 00:59:24,956 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3476 bytes
2025-04-22 00:59:25,496 - workload_generator - INFO - Throughput: 914.58 msgs/sec, 3.05 MB/sec
2025-04-22 00:59:25,497 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3471 bytes
2025-04-22 00:59:26,020 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3490 bytes
2025-04-22 00:59:26,557 - workload_generator - INFO - Throughput: 914.98 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:26,558 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3567 bytes
2025-04-22 00:59:27,079 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3457 bytes
2025-04-22 00:59:27,614 - workload_generator - INFO - Throughput: 915.42 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:27,614 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3469 bytes
2025-04-22 00:59:28,149 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3371 bytes
2025-04-22 00:59:28,690 - workload_generator - INFO - Throughput: 915.61 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:28,691 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3552 bytes
2025-04-22 00:59:29,220 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3570 bytes
2025-04-22 00:59:29,756 - workload_generator - INFO - Throughput: 915.93 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:29,756 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3413 bytes
2025-04-22 00:59:30,281 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3476 bytes
2025-04-22 00:59:30,813 - workload_generator - INFO - Throughput: 916.33 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:30,813 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3435 bytes
2025-04-22 00:59:31,348 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3539 bytes
2025-04-22 00:59:31,875 - workload_generator - INFO - Throughput: 916.67 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:31,876 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3521 bytes
2025-04-22 00:59:32,402 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3524 bytes
2025-04-22 00:59:32,942 - workload_generator - INFO - Throughput: 916.94 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:32,942 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3499 bytes
2025-04-22 00:59:33,482 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3391 bytes
2025-04-22 00:59:34,014 - workload_generator - INFO - Throughput: 917.15 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:34,014 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3492 bytes
2025-04-22 00:59:34,528 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3542 bytes
2025-04-22 00:59:35,065 - workload_generator - INFO - Throughput: 917.58 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:35,067 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3414 bytes
2025-04-22 00:59:35,582 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3517 bytes
2025-04-22 00:59:36,108 - workload_generator - INFO - Throughput: 918.09 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:36,109 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3448 bytes
